EmployeeID,age,length_of_service,job_title,gender,termreason_desc,termtype_desc,STATUS_YEAR,STATUS
1318,52,17,CEO,Male,Not Applicable,Not Applicable,2006,ACTIVE
1318,53,18,CEO,Male,Not Applicable,Not Applicable,2007,ACTIVE
1318,54,19,CEO,Male,Not Applicable,Not Applicable,2008,ACTIVE
1318,55,20,CEO,Male,Not Applicable,Not Applicable,2009,ACTIVE
1318,56,21,CEO,Male,Not Applicable,Not Applicable,2010,ACTIVE
1318,57,22,CEO,Male,Not Applicable,Not Applicable,2011,ACTIVE
1318,58,23,CEO,Male,Not Applicable,Not Applicable,2012,ACTIVE
1318,59,24,CEO,Male,Not Applicable,Not Applicable,2013,ACTIVE
1318,60,25,CEO,Male,Not Applicable,Not Applicable,2014,ACTIVE
1318,61,26,CEO,Male,Not Applicable,Not Applicable,2015,ACTIVE
1319,49,17,VP Stores,Female,Not Applicable,Not Applicable,2006,ACTIVE
1319,50,18,VP Stores,Female,Not Applicable,Not Applicable,2007,ACTIVE
1319,51,19,VP Stores,Female,Not Applicable,Not Applicable,2008,ACTIVE
1319,52,20,VP Stores,Female,Not Applicable,Not Applicable,2009,ACTIVE
1319,53,21,VP Stores,Female,Not Applicable,Not Applicable,2010,ACTIVE
1319,54,22,VP Stores,Female,Not Applicable,Not Applicable,2011,ACTIVE
1319,55,23,VP Stores,Female,Not Applicable,Not Applicable,2012,ACTIVE
1319,56,24,VP Stores,Female,Not Applicable,Not Applicable,2013,ACTIVE
1319,57,25,VP Stores,Female,Not Applicable,Not Applicable,2014,ACTIVE
1319,58,26,VP Stores,Female,Not Applicable,Not Applicable,2015,ACTIVE
1320,51,17,Legal Counsel,Female,Not Applicable,Not Applicable,2006,ACTIVE
1320,52,18,Legal Counsel,Female,Not Applicable,Not Applicable,2007,ACTIVE
1320,53,19,Legal Counsel,Female,Not Applicable,Not Applicable,2008,ACTIVE
1320,54,20,Legal Counsel,Female,Not Applicable,Not Applicable,2009,ACTIVE
1320,55,21,Legal Counsel,Female,Not Applicable,Not Applicable,2010,ACTIVE
1320,56,22,Legal Counsel,Female,Not Applicable,Not Applicable,2011,ACTIVE
1320,57,23,Legal Counsel,Female,Not Applicable,Not Applicable,2012,ACTIVE
1320,58,24,Legal Counsel,Female,Not Applicable,Not Applicable,2013,ACTIVE
1320,59,25,Legal Counsel,Female,Not Applicable,Not Applicable,2014,ACTIVE
1320,60,26,Legal Counsel,Female,Not Applicable,Not Applicable,2015,ACTIVE
1321,47,17,VP Human Resources,Male,Not Applicable,Not Applicable,2006,ACTIVE
1321,48,18,VP Human Resources,Male,Not Applicable,Not Applicable,2007,ACTIVE
1321,49,19,VP Human Resources,Male,Not Applicable,Not Applicable,2008,ACTIVE
1321,50,20,VP Human Resources,Male,Not Applicable,Not Applicable,2009,ACTIVE
1321,51,21,VP Human Resources,Male,Not Applicable,Not Applicable,2010,ACTIVE
1321,52,22,VP Human Resources,Male,Not Applicable,Not Applicable,2011,ACTIVE
1321,53,23,VP Human Resources,Male,Not Applicable,Not Applicable,2012,ACTIVE
1321,54,24,VP Human Resources,Male,Not Applicable,Not Applicable,2013,ACTIVE
1321,55,25,VP Human Resources,Male,Not Applicable,Not Applicable,2014,ACTIVE
1321,56,26,VP Human Resources,Male,Not Applicable,Not Applicable,2015,ACTIVE
1322,48,17,VP Finance,Male,Not Applicable,Not Applicable,2006,ACTIVE
1322,49,18,VP Finance,Male,Not Applicable,Not Applicable,2007,ACTIVE
1322,50,19,VP Finance,Male,Not Applicable,Not Applicable,2008,ACTIVE
1322,51,20,VP Finance,Male,Not Applicable,Not Applicable,2009,ACTIVE
1322,52,21,VP Finance,Male,Not Applicable,Not Applicable,2010,ACTIVE
1322,53,22,VP Finance,Male,Not Applicable,Not Applicable,2011,ACTIVE
1322,54,23,VP Finance,Male,Not Applicable,Not Applicable,2012,ACTIVE
1322,55,24,VP Finance,Male,Not Applicable,Not Applicable,2013,ACTIVE
1322,56,25,VP Finance,Male,Not Applicable,Not Applicable,2014,ACTIVE
1322,57,26,VP Finance,Male,Not Applicable,Not Applicable,2015,ACTIVE
1323,44,17,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2006,ACTIVE
1323,45,18,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2007,ACTIVE
1323,46,19,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2008,ACTIVE
1323,47,20,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2009,ACTIVE
1323,48,21,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2010,ACTIVE
1323,49,22,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2011,ACTIVE
1323,50,23,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2012,ACTIVE
1323,51,24,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2013,ACTIVE
1323,52,25,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2014,ACTIVE
1323,53,26,"Exec Assistant, VP Stores",Male,Not Applicable,Not Applicable,2015,ACTIVE
1325,42,17,"Exec Assistant, Legal Counsel",Female,Not Applicable,Not Applicable,2006,ACTIVE
1325,43,18,"Exec Assistant, Legal Counsel",Female,Not Applicable,Not Applicable,2007,ACTIVE
1325,44,19,"Exec Assistant, Legal Counsel",Female,Not Applicable,Not Applicable,2008,ACTIVE
1325,45,20,"Exec Assistant, Legal Counsel",Female,Not Applicable,Not Applicable,2009,ACTIVE
